mhc_elution_id	h_age
3464599	young and old
3464600	old
3464601	young and old
3464602	old
3464603	young and old
3464604	old
3464605	young and old
3464606	old
3464607	young and old
3464791	young and old
3464792	old
3464793	young and old
3464794	old
3464795	young and old
3464796	old
3464797	young and old
3464798	old
3464799	young and old
3464801	old
3464802	young and old
3464985	old
3464986	young and old
3464987	old
3464988	young and old
3464989	old
3464990	young and old
3464991	old
3464992	young and old
3464993	old
3464994	young and old
3464995	old
3464996	young and old
3465177	old
3465178	young and old
3465179	old
3465180	young and old
3465181	old
3465182	young and old
3465183	old
3465184	young and old
3465185	old
3465186	young and old
3465187	old
3465188	young and old
3465371	old
3465372	young and old
3465374	old
3465375	young and old
3465377	old
3465378	young and old
3465380	old
3465381	young and old
3465383	old
3465483	old
3465484	young and old
3465485	old
3465486	young and old
3465487	old
3465488	young and old
3465489	old
3465490	young and old
3465492	old
3465493	young and old
3465494	old
3463880	old
3463881	young and old
3463882	old
3463883	young and old
3463884	old
3463885	young and old
3463886	old
3463887	young and old
3463888	old
3463889	young and old
3463890	old
3463891	young and old
3464069	young and old
3464070	old
3464071	young and old
3464072	old
3464073	young and old
3464075	old
3464076	young and old
3464077	old
3464078	young and old
3464079	old
3464080	young and old
3464262	young and old
3464263	old
3464264	young and old
3464265	old
3464266	young and old
3464267	old
3464268	young and old
3464270	old
3464271	young and old
3464273	old
3464469	old
3464470	young and old
3464471	old
3464472	young and old
3464473	old
3464474	young and old
3464475	old
3464476	young and old
3464478	old
3464479	young and old
3464480	old
3464608	old
3464609	young and old
3464610	old
3464611	young and old
3464612	old
3464613	young and old
3464614	old
3464615	young and old
3464616	old
3464617	young and old
3464618	old
3464619	young and old
3464803	old
3464804	young and old
3464805	old
3464806	young and old
3464807	old
3464808	young and old
3464809	old
3464810	young and old
3464811	old
3464812	young and old
3464813	old
3464814	young and old
3464997	old
3464998	young and old
3464999	old
3465000	young and old
3465001	old
3465002	young and old
3465003	old
3465004	young and old
3465006	old
3465007	young and old
3465189	old
3465190	young and old
3465191	old
3465192	young and old
3465193	old
3465194	young and old
3465195	old
3465196	young and old
3465197	old
3465198	young and old
3465199	old
3465200	young and old
3465384	young and old
3465386	old
3465387	young and old
3465389	old
3465390	young and old
3465392	old
3465393	young and old
3465395	old
3465396	young and old
3465495	young and old
3465496	old
3465497	young and old
3465498	old
3465499	young and old
3465500	old
3465501	young and old
3465502	old
3465503	young and old
3465504	old
3465505	young and old
3465506	old
3463892	old
3463893	young and old
3463894	old
3463895	young and old
3463896	old
3463897	young and old
3463898	old
3463899	young and old
3463900	old
3463901	young and old
3463902	old
3463903	young and old
3464081	old
3464082	young and old
3464083	old
3464084	young and old
3464085	old
3464086	young and old
3464088	old
3464089	young and old
3464090	old
3464091	young and old
3464093	old
3464274	young and old
3464276	old
3464277	young and old
3464278	old
3464279	young and old
3464280	old
3464281	young and old
3464282	old
3464283	young and old
3464284	old
3464285	young and old
3464482	old
3464483	young and old
3464484	old
3464485	young and old
3464486	old
3464487	young and old
3464488	old
3464489	young and old
3464490	old
3464491	young and old
3464492	old
3464493	young and old
3464620	old
3464621	young and old
3464622	old
3464623	young and old
3464624	old
3464625	young and old
3464626	old
3464627	young and old
3464628	old
3464629	young and old
3464630	old
3464631	young and old
3464815	old
3464816	young and old
3464817	old
3464818	young and old
3464819	old
3464820	young and old
3464821	old
3464822	young and old
3464823	old
3464824	young and old
3464825	old
3464826	young and old
3465009	old
3465010	young and old
3465011	old
3465012	young and old
3465013	old
3465014	young and old
3465015	old
3465016	young and old
3465017	old
3465018	young and old
3465019	old
3465020	young and old
3465201	old
3465202	young and old
3465203	old
3465204	young and old
3465205	old
3465206	young and old
3465207	old
3465208	young and old
3465209	old
3465210	young and old
3465211	old
3465212	young and old
3465397	old
3465398	young and old
3465399	old
3465400	young and old
3465401	old
3465402	young and old
3465403	old
3465404	young and old
3465405	old
3465406	young and old
3465407	old
3465408	young and old
3465507	young and old
3465508	old
3465509	young and old
3465510	old
3465511	young and old
3465512	old
3465513	young and old
3465514	old
3465515	young and old
3465517	old
3465518	young and old
3463742	old
3463743	young and old
3463744	old
3463745	young and old
3463746	old
3463747	young and old
3463748	old
3463749	young and old
3463750	old
3463751	young and old
3463904	old
3463905	young and old
3463906	old
3463907	young and old
3463908	old
3463909	young and old
3463910	old
3463911	young and old
3463912	old
3463913	young and old
3463914	old
3463915	young and old
3464094	young and old
3464095	old
3464096	young and old
3464097	old
3464098	young and old
3464099	old
3464100	young and old
3464101	old
3464102	young and old
3464103	old
3464104	young and old
3464286	old
3464287	young and old
3464288	old
3464289	young and old
3464290	old
3464291	young and old
3464292	old
3464293	young and old
3464294	old
3464295	young and old
3464296	old
