mhc_elution_id	h_age
3959314	adult
3959319	adult
3959536	adult
3959543	adult
3959779	adult
3959782	adult
3959783	adult
3959784	adult
3959785	adult
3959786	adult
3959777	adult
3959787	adult
3959788	adult
3960003	adult
3960006	adult
3959996	adult
3960243	adult
3960249	adult
3960254	adult
3960255	adult
3958583	adult
3958584	adult
3958817	adult
3958818	adult
3958822	adult
3958823	adult
3958824	adult
3958826	adult
3958827	adult
3959068	adult
3959074	adult
3959080	adult
22778716	1 year
22778722	1 year
22778731	1 year
22778753	1 year
3961186	adult
3961188	adult
3961190	adult
3961191	adult
3961193	adult
3961194	adult
3961195	adult
3961184	adult
3961430	adult
3961433	adult
3961438	adult
3961699	adult
3961700	adult
3961701	adult
3961702	adult
3961703	adult
3961704	adult
3961705	adult
3961919	adult
3961920	adult
3961923	adult
3961925	adult
3961927	adult
3961929	adult
3962173	adult
3962174	adult
3962176	adult
3962172	adult
3962428	adult
3962434	adult
3962438	adult
3962680	adult
3962684	adult
3962686	adult
3962691	adult
3963185	adult
3963186	adult
3963187	adult
3963192	adult
3963419	adult
3963427	adult
3963430	adult
3963665	adult
3963915	adult
3963916	adult
3963917	adult
3963918	adult
3963919	adult
3963920	adult
3963923	adult
3963925	adult
3963914	adult
3964125	adult
3964129	adult
3964130	adult
3964133	adult
3964134	adult
3964136	adult
3960748	adult
3960752	adult
3960754	adult
3960755	adult
3960756	adult
3960758	adult
3960759	adult
3960965	adult
3960966	adult
3960968	adult
3960972	adult
3960973	adult
3960974	adult
3960975	adult
3960976	adult
3960977	adult
3961197	adult
3961200	adult
3961206	adult
3961443	adult
3961447	adult
3961454	adult
3961707	adult
3961708	adult
3961709	adult
3961714	adult
3961715	adult
3961716	adult
3961718	adult
3961719	adult
3961936	adult
3962191	adult
3962449	adult
3962458	adult
3962695	adult
3962698	adult
3962701	adult
3962708	adult
3962955	adult
3962958	adult
3963197	adult
3963201	adult
3963202	adult
3963204	adult
3963438	adult
3963441	adult
3963446	adult
3963685	adult
3963689	adult
3963926	adult
3963928	adult
3963929	adult
3963930	adult
3963931	adult
3963932	adult
3963933	adult
3963934	adult
3963935	adult
3963936	adult
3964137	adult
3964151	adult
3964153	adult
3964154	adult
3964156	adult
3964158	adult
3964160	adult
3964161	adult
3964162	adult
3960765	adult
3960766	adult
3960767	adult
3960768	adult
3960769	adult
3960771	adult
3960772	adult
3960773	adult
3960762	adult
3960980	adult
3960981	adult
3960982	adult
3960983	adult
3960984	adult
3960986	adult
3960987	adult
3960988	adult
3960989	adult
3960990	adult
3961212	adult
3961213	adult
3961215	adult
3961216	adult
3961219	adult
3961223	adult
3961225	adult
3961720	adult
3961721	adult
3961951	adult
3961954	adult
3961959	adult
3961962	adult
3962469	adult
3962471	adult
3962473	adult
3962475	adult
3962717	adult
3962721	adult
3962722	adult
3962724	adult
3962970	adult
3963218	adult
3963219	adult
3963210	adult
3963450	adult
3963456	adult
3963938	adult
3963942	adult
3963943	adult
3963944	adult
3963947	adult
3963949	adult
3964138	adult
3964140	adult
3964142	adult
3964144	adult
3964145	adult
3964146	adult
3964148	adult
3964150	adult
3960557	adult
3960774	adult
3960777	adult
3960778	adult
3960779	adult
3960781	adult
3960783	adult
3960786	adult
3960994	adult
3960996	adult
3960998	adult
3960999	adult
3961000	adult
3961001	adult
3960992	adult
3961229	adult
3961230	adult
3961231	adult
3961232	adult
3961237	adult
3961738	adult
3961739	adult
3961740	adult
3961742	adult
3961743	adult
3961746	adult
3961747	adult
3961748	adult
3961966	adult
3961968	adult
3961971	adult
3961977	adult
3961965	adult
3962476	adult
3962483	adult
3962486	adult
3962489	adult
3962729	adult
3962733	adult
3962737	adult
3962739	adult
3962980	adult
3962982	adult
3962988	adult
3962979	adult
3962992	adult
3963226	adult
3963233	adult
3963237	adult
3963467	adult
3963478	adult
