bcell_id	h_age
8158982	adult
8158986	adult
8158989	adult
8158992	adult
17677252	1 year
5719424	adult
3796836	12 week
17677248	1 year
17677251	1 year
12169580	adult
12169581	adult
12155865	adult
12155866	adult
12155867	adult
12155868	adult
12155869	adult
17677256	4-6 week
2855302	adult
22503071	13 week
17599590	4-6 week
17599591	4-6 week
17677249	1 year
17677250	1 year
17677253	1 year
17677254	1 year
17677255	1 year
17677200	4-6 week
17677197	4-6 week
17678926	4-6 week
17678928	4-6 week
13827706	1 year
13827718	1 year
13827748	1 year
13827851	1 year
13827817	1 year
13827819	1 year
13827824	1 year
13827825	1 year
13827834	1 year
13827833	1 year
13827835	1 year
13827837	1 year
13827690	1 year
13827839	1 year
13827840	1 year
13827836	1 year
13827820	1 year
13827848	1 year
13827849	1 year
13827850	1 year
17678925	4-6 week
17678929	4-6 week
17308525	1 year
17308526	1 year
17308527	1 year
17308528	1 year
17308529	1 year
17308530	1 year
17308531	1 year
17308533	1 year
17308535	1 year
17308537	1 year
17308539	1 year
17308541	1 year
22646515	1 day
22646519	1 day
22503077	13 week
17542115	1 year
17542116	1 year
17542117	1 year
17542118	1 year
22709233	1 year
22731071	1 year
22731073	1 year
22731074	1 year
22709235	1 year
22709236	1 year
22709325	1 year
22709326	1 year
22709327	1 year
22709328	1 year
22709329	1 year
22709330	1 year
22709234	1 year
22709237	1 year
22709238	1 year
22709239	1 year
22709240	1 year
22709245	1 year
22709242	1 year
22709243	1 year
22709244	1 year
22709246	1 year
22709247	1 year
22709248	1 year
22709249	1 year
22709250	1 year
22709251	1 year
22709252	1 year
22730751	1 year
22730752	1 year
22730753	1 year
22709272	1 year
22709273	1 year
22709274	1 year
22730754	1 year
22730755	1 year
22730756	1 year
22730757	1 year
22730760	1 year
22730759	1 year
22730761	1 year
22709266	1 year
22709271	1 year
22709283	1 year
