bcell_id	h_age
1279838	14 and younger
1279819	14 and younger
1279821	14 and younger
1279829	14 and younger
1279747	14 and younger
1279830	14 and younger
1279831	14 and younger
1279882	14 and younger
1279886	14 and younger
1279749	14 and younger
1279752	14 and younger
1279824	14 and younger
1279825	14 and younger
1280461	16-Feb
1280462	16-Feb
1280464	16-Feb
1279827	14 and younger
1279759	14 and younger
1279760	14 and younger
1279753	14 and younger
1279754	14 and younger
1279757	14 and younger
1279887	14 and younger
1279891	14 and younger
1279770	14 and younger
1279771	14 and younger
1281727	16-Feb
1279765	14 and younger
1279766	14 and younger
1279835	14 and younger
1281719	16-Feb
1281721	16-Feb
1279822	14 and younger
1280465	16-Feb
1280463	16-Feb
1466072	Ponies
1466075	Ponies
1281723	16-Feb
1281728	16-Feb
1466077	Ponies
1466082	Ponies
8305	37 average
1352051	average age 54
1352016	average age 54
1352068	average age 54
1352088	average age 54
1352098	average age 54
1352008	average age 54
1474314	children and adults
1336964	Adults and children
1330941	Children and adults
1330946	Children and adults
1474312	children and adults
1352012	average age 54
1352046	average age 54
1352048	average age 54
1352054	average age 54
1336754	More than 15 years
1280061	14 and younger
1352027	average age 54
1351997	average age 54
1279418	14 and younger
1279423	14 and younger
1382095	Adults and children
1336946	More than 15 years
1279449	14 and younger
1279466	14 and younger
1279885	14 and younger
1279902	14 and younger
1279493	14 and younger
8289	37 average
1279939	14 and younger
1340232	birth - 5 years
1279503	14 and younger
1280025	14 and younger
1280032	14 and younger
1280038	14 and younger
1280044	14 and younger
1341644	Children and adults
1279995	14 and younger
1343302	Children and adults
1384783	10 years and older
1279395	14 and younger
1279403	14 and younger
1212829	25-30 grams
1341848	Children and adults
1279989	14 and younger
1279993	14 and younger
1335494	children and adults
1341972	Children and adults
1280000	14 and younger
1280001	14 and younger
1343267	Adults and children
1279690	14 and younger
1279700	14 and younger
1280008	14 and younger
1280020	14 and younger
1280021	14 and younger
1279382	14 and younger
1279390	14 and younger
1279947	14 and younger
1341635	Adutls
1341930	Children and adults
1279597	14 and younger
1279618	14 and younger
1279987	14 and younger
1279797	14 and younger
1279739	14 and younger
1279768	14 and younger
1279775	14 and younger
1279911	14 and younger
1279912	14 and younger
1279918	14 and younger
1279513	14 and younger
1279969	14 and younger
1279975	14 and younger
1279925	14 and younger
1338990	Adult (pregnant)
1338917	Adult (pregnant)
1342689	up to 12 weeks old
1279860	14 and younger
1279866	14 and younger
1319356	6-24 mo of age
1279722	14 and younger
1279486	14 and younger
1279491	14 and younger
1279366	14 and younger
1279935	14 and younger
1279381	14 and younger
1279524	14 and younger
1349538	Neonates (infected mothers or PM)
1345384	Adutls
1330755	infants
1466079	Ponies
1417749	children
1466030	Ponies
1349537	Neonates (infected mothers or PM)
1341178	Child (5-11)
1341172	Child (5-11)
1787789	Average age of 37 years
1280467	16-Feb
1279946	14 and younger
1279974	14 and younger
1279983	14 and younger
1279929	14 and younger
1352087	average age 54
1352050	average age 54
1336942	More than 15 years
1279714	14 and younger
1279986	14 and younger
1279994	14 and younger
1279776	14 and younger
1279790	14 and younger
1352085	average age 54
1342692	up to 12 weeks old
1279727	14 and younger
1279434	14 and younger
1280023	14 and younger
1280042	14 and younger
1279592	14 and younger
1279598	14 and younger
1279606	14 and younger
1279471	14 and younger
1279614	14 and younger
1279588	14 and younger
1338154	Children and Adults
1379691	Adults and children
1336711	More than 15 years
1336719	More than 15 years
1336845	average age 29.8
1335493	children and adults
1279738	14 and younger
1280012	14 and younger
1279796	14 and younger
1352026	average age 54
1279684	14 and younger
1347164	Adult (pregnant)
1280059	14 and younger
1280065	14 and younger
1280073	14 and younger
1279750	14 and younger
1279751	14 and younger
1279755	14 and younger
1279910	14 and younger
1279916	14 and younger
1352062	average age 54
1352093	average age 54
1352108	average age 54
1341862	Children and adults
1279898	14 and younger
1279906	14 and younger
1279833	14 and younger
1279529	14 and younger
1279532	14 and younger
1279804	14 and younger
1279808	14 and younger
1279811	14 and younger
1279818	14 and younger
1279826	14 and younger
1279828	14 and younger
1280050	14 and younger
1280051	14 and younger
1279957	14 and younger
1336951	More than 15 years
1352101	average age 54
1352103	average age 54
1279734	14 and younger
1279917	14 and younger
1279764	14 and younger
1279772	14 and younger
1341633	Children and adults
1341636	Children and adults
1371171	children
1352020	average age 54
1279685	14 and younger
1279694	14 and younger
1279699	14 and younger
1279707	14 and younger
1279713	14 and younger
1342699	up to 12 weeks old
1342680	up to 12 weeks old
1342691	up to 12 weeks old
1279408	14 and younger
1279773	14 and younger
1338214	Children and Adults
1341988	Children and adults
1279478	14 and younger
1279489	14 and younger
1279498	14 and younger
1279505	14 and younger
1279506	14 and younger
1279514	14 and younger
1279416	14 and younger
1279425	14 and younger
1279427	14 and younger
1279429	14 and younger
1336691	More than 15 years
1330753	infants
1330752	infants
1343139	Adults and children
1343265	Adults and children
1279540	14 and younger
1279547	14 and younger
1279550	14 and younger
1382098	Adults and children
1279448	14 and younger
1279554	14 and younger
1352074	average age 54
1382097	Adults and children
1279586	14 and younger
1279461	14 and younger
1279469	14 and younger
1279385	14 and younger
1279396	14 and younger
1279397	14 and younger
1279406	14 and younger
1279446	14 and younger
1330944	Children and adults
1380982	Children and adults
1352071	average age 54
1352081	average age 54
1279357	14 and younger
1279867	14 and younger
1279876	14 and younger
1279936	14 and younger
1279943	14 and younger
1352078	average age 54
1279952	14 and younger
1279953	14 and younger
1474281	children and adults
1330759	infants
1336962	Adults and children
1319839	6-24 mo of age
1330749	infants
1279410	14 and younger
1319774	6-24 mo of age
1342688	up to 12 weeks old
1351992	average age 54
1336967	Adults and children
1474316	children and adults
1279372	14 and younger
1279888	14 and younger
1336752	More than 15 years
1417759	children
1279872	14 and younger
1279922	14 and younger
1341976	Children and adults
1288875	6 mos
1319777	6-24 mo of age
1343299	Children and adults
1280016	14 and younger
1279695	14 and younger
1280039	14 and younger
1339449	Adults and children
1341834	Children and adults
1336699	More than 15 years
1336721	More than 15 years
1280030	14 and younger
1279980	14 and younger
1279928	14 and younger
1279959	14 and younger
1279522	14 and younger
1279720	14 and younger
1279548	14 and younger
1319772	6-24 mo of age
1352009	average age 54
1279415	14 and younger
1339481	Adults and children
1341798	2 to >20 years
1342684	up to 12 weeks old
1343565	Adutls
1347299	Adults and children
1280033	14 and younger
1279997	14 and younger
1280064	14 and younger
1279706	14 and younger
1279544	14 and younger
1279884	14 and younger
1279528	14 and younger
1352006	average age 54
1279798	14 and younger
1319836	6-24 mo of age
1279901	14 and younger
8282	37 average
1279368	14 and younger
1280048	14 and younger
1279758	14 and younger
1279815	14 and younger
1279440	14 and younger
1279359	14 and younger
1279883	14 and younger
1279934	14 and younger
1279865	14 and younger
1336950	More than 15 years
1279719	14 and younger
1279782	14 and younger
1279496	14 and younger
1279511	14 and younger
1279468	14 and younger
1279683	14 and younger
1279609	14 and younger
1279593	14 and younger
1288873	6 mos
1279743	14 and younger
1279900	14 and younger
1279979	14 and younger
1280010	14 and younger
1279955	14 and younger
1279377	14 and younger
1279398	14 and younger
1279373	14 and younger
1279933	14 and younger
1279402	14 and younger
1466129	Ponies
1342685	up to 12 weeks old
1280013	14 and younger
1279579	14 and younger
1279688	14 and younger
1279387	14 and younger
1279954	14 and younger
1279452	14 and younger
1279437	14 and younger
1279460	14 and younger
1279623	14 and younger
1279716	14 and younger
1279875	14 and younger
1787786	Average age of 37 years
1812210	24 hours
1811612	24 hours
1811613	24 hours
1811168	24 hours
21210969	>/= 18 years
1786473	35 years mean age
1786477	35 years mean age
1788684	Mean age = 41.7 ± 15.1 years
1788688	Mean age = 41.7 ± 15.1 years
1788689	Mean age = 41.7 ± 15.1 years
1788690	Mean age = 39.8 ± 13.3 years
1788691	Mean age = 39.8 ± 13.3 years
2423447	subadult
1788676	Mean age = 41.7 ± 15.1 years
1787340	mean age of 39.9 years
1799296	48 hours
1799297	48 hours
1789773	Mean age = 58±12 years
1789784	Mean age = 58±12 years
1811606	24 hours
1808048	newborns - 29 years
1809662	1 year 5 months to 15 years 8 months
1811166	24 hours
1808044	newborns - 29 years
1495053	infants
1494401	College age
1495066	infants
1495067	infants
1495054	infants
1495063	infants
1495064	infants
1495060	infants
1495061	infants
1495057	infants
1495058	infants
1602533	adults
1619995	Foals
1619996	Foals
1619997	Foals
1607323	children
1607324	children
1619998	Foals
1619999	Foals
1620000	Foals
1620001	Foals
1619980	Foals
1619981	Foals
1619982	Foals
1619983	Foals
1619984	Foals
1619977	Foals
1619978	Foals
1619979	Foals
1619991	Foals
1619992	Foals
1619985	Foals
1619986	Foals
1619987	Foals
1619988	Foals
1619989	Foals
1619990	Foals
1620003	Foals
1620004	Foals
1620005	Foals
1620006	Foals
1620007	Foals
1620008	Foals
1620009	Foals
1620010	Foals
1620012	Foals
1620013	Foals
1620014	Foals
1620015	Foals
1620016	Foals
1620017	Foals
1620018	Foals
1620011	Foals
1620019	Foals
1620020	Foals
1620021	Foals
1620098	newborns
1619970	Foals
1619993	Foals
1619994	Foals
1620002	Foals
1619973	Foals
1619974	Foals
1619975	Foals
1619976	Foals
1639058	Mean=8.4 ± 4.3
1602535	adults, >32 years
1620118	newborns
1606232	children
1620117	newborns
1649608	elderly > 70 years
1649609	elderly > 70 years
1649621	elderly > 70 years
1620143	newborns
1620142	newborns
1620072	newborns
1649597	elderly > 70 years
1649635	elderly > 70 years
1649620	elderly > 70 years
1649627	elderly > 70 years
1649628	elderly > 70 years
1336749	More than 15 years
1417758	children
1279756	14 and younger
1330943	Children and adults
1279966	14 and younger
1280003	14 and younger
1690950	21, 27 and 36 weeks
1693608	Within 1 week after birth
1693609	Within 1 week after birth
1492301	Young adult
1690947	21, 27 and 36 weeks
1690949	21, 27 and 36 weeks
1690951	21, 27 and 36 weeks
1690952	21, 27 and 36 weeks
1702485	less than 24 hours
1703320	Steer
1703428	Steer
1712025	Elderly
1712028	Elderly
1712030	Elderly
1712032	Elderly
1702483	less than 24 hours
1764620	Less than 20 years
1764610	Less than 20 years
1764607	Less than 20 years
1770894	middle aged
1770895	middle aged
1770896	middle aged
1764616	Less than 20 years
1764615	Less than 20 years
1764618	Less than 20 years
1764617	Less than 20 years
1764619	Less than 20 years
1770500	middle aged
1770501	middle aged
1770502	middle aged
1504364	≥ 18 years
1504374	≥ 18 years
1504375	≥ 18 years
1504376	≥ 18 years
1504377	≥ 18 years
1504378	≥ 18 years
1504379	≥ 18 years
1504380	≥ 18 years
1504381	≥ 18 years
1504382	≥ 18 years
1504383	≥ 18 years
1504384	≥ 18 years
1504385	≥ 18 years
1504386	≥ 18 years
1504387	≥ 18 years
1504388	≥ 18 years
1504391	≥ 18 years
1504392	≥ 18 years
1504389	≥ 18 years
1504390	≥ 18 years
1504343	≥ 18 years
1504344	≥ 18 years
1504333	≥ 18 years
1504346	≥ 18 years
1504347	≥ 18 years
1504348	≥ 18 years
1504349	≥ 18 years
1504350	≥ 18 years
1504351	≥ 18 years
1504352	≥ 18 years
1504353	≥ 18 years
1504359	≥ 18 years
1504360	≥ 18 years
1504357	≥ 18 years
1504361	≥ 18 years
1504362	≥ 18 years
1504365	≥ 18 years
1504366	≥ 18 years
1504369	≥ 18 years
1504358	≥ 18 years
1504368	≥ 18 years
1504373	≥ 18 years
1504371	≥ 18 years
1504372	≥ 18 years
2103807	2 years 8 months to 3 years 9 months
2103808	2 years 8 months to 3 years 9 months
2103805	2 years 8 months to 3 years 9 months
2116228	children
2116229	children
2116230	children
2116231	children
2116232	children
2103685	2 years 8 months to 3 years 9 months
2103686	2 years 8 months to 3 years 9 months
2103687	2 years 8 months to 3 years 9 months
2116233	children
2116234	children
2116235	children
2116236	children
2116237	children
2116238	children
2116239	children
1820153	36.1 years (mean)
1820088	36.1 years (mean)
1820096	36.1 years (mean)
1820097	36.1 years (mean)
1820098	36.1 years (mean)
1820151	36.1 years (mean)
1820152	36.1 years (mean)
1820160	36.1 years (mean)
1835643	Child
1820154	36.1 years (mean)
1820155	36.1 years (mean)
1820156	36.1 years (mean)
1820157	36.1 years (mean)
1820158	36.1 years (mean)
1820159	36.1 years (mean)
1835645	Child
1820140	36.1 years (mean)
1820141	36.1 years (mean)
1820142	36.1 years (mean)
1820143	36.1 years (mean)
1820144	36.1 years (mean)
1820147	36.1 years (mean)
1820145	36.1 years (mean)
1820146	36.1 years (mean)
1820148	36.1 years (mean)
1820149	36.1 years (mean)
1820150	36.1 years (mean)
1822314	100 day fetus
1822315	100 day fetus
1838435	Child
1842073	Mean age of 54. 04
1842071	Mean age of 54. 04
1862850	Infants and adults
1862797	Infants and adults
1862837	Infants and adults
1884353	mean age=53.7 years
1884354	mean age=53.7 years
1944779	25 years mean age
1930717	Young adult
1930720	Young adult
1930721	Young adult
1930722	Young adult
1930723	Young adult
1930724	Young adult
1930725	Young adult
1930727	Young adult
1930726	Young adult
1930735	Young adult
1930739	Young adult
1930752	Young adult
1930753	Young adult
1930756	Young adult
1930719	Young adult
1931125	Adult (6 weeks)
1931126	Adult (6 weeks)
1931128	Adult (6 weeks)
1976253	Foals
1977809	Foals
6513275	6 Weeks
6513276	6 Weeks
1981813	1 year 8 months to 68 years
1981815	1 year 8 months to 68 years
1977810	Foals
1976255	Foals
1980110	children
1980088	children
1980092	children
1980093	children
1980094	children
1980101	children
1980102	children
1980103	children
1980111	children
1980112	children
1980113	children
1980114	children
1980115	children
1980116	children
1980117	children
1980118	children
1980119	children
1980120	children
1980121	children
1980122	children
1980123	children
1980124	children
1980125	children
1980126	children
1980128	children
1980129	children
1980130	children
1980131	children
1980132	children
1980133	children
1980134	children
1980135	children
1980136	children
1980137	children
1980138	children
1980139	children
1980140	children
1980141	children
1980090	children
1980091	children
1980095	children
1980096	children
1980097	children
1980098	children
1980099	children
1980100	children
1980104	children
1980692	children
1980106	children
1980107	children
1980108	children
1980109	children
1980127	children
1980142	children
1980143	children
1980144	children
1980145	children
1977212	Foals
1976413	Foals
1976414	Foals
1981300	0.7 to 20.9 years (median = 11.0)
2071737	<42-79 years
1988933	young adult
1988961	young adult
1988937	young adult
1988946	young adult
1988947	young adult
1988957	young adult
2103688	2 years 8 months to 3 years 9 months
2103824	2 years 8 months to 3 years 9 months
2830625	1 to 5 years or > 15 years
2830626	1 to 5 years or > 15 years
2830627	1 to 5 years or > 15 years
2830628	1 to 5 years or > 15 years
2660045	mean age 3-4 years
2660118	mean age 3-4 years
2660119	mean age 3-4 years
