h_age	occurrences
mean 30 years	2
7 - 8 weeks	1
6 to 16 years	15
8 -10 weeks	4
35 to 52 years	48
25 to 70 years	3
29 to 81 years	3
59 to 72 years	44
15 to 76 years	3
18 to 39 years	11
average age = 43.6 years	6
average age = 44.8 years	6
19 to 45 years	154
36- 57 years	8
32 to 73 years	99
13 week	2
median 54 years	161
median 55 years	161
22 to 32 years	113
31 to 32 years	5
median 48 years	1
median 58 years	6
median 50 years	1
6-weeks	2
35.3 to 54.3 years	1
48.5 to 61.2 years	1
2 to 3 years	58
40 to 60 years	17
21 to 76 years	161
33 to 83 years	62
24 to 28 years	12
44 to 74 years	15
0- 59 years	96
36 to 70 years	2
mean 63.87 years	4
38 to 64 years	4
45 to 51 years	24
52 to 77 years	84
mean 55.4 years	2
39 to 82 years	107
7 to 36 years	31
41 to 60 years	15
mean 53.4 years	2
mean 59 years	2
44 to 66 years	4
52 to 70 years	30
7 to 55 years	15
mean 18.75 years	15
mean 29.7 years	15
36 to 66 years	114
4-week-old	12
6 to 32 years	4
45 to 82 years	62
1 year old	4
5- 55 years	12
27- 54 years	6
49 years old	1417
51 years old	7479
4-16 years old	311
6-10 wk	154
12-65 years old	34
33-52 years-old	33
7-74 years old	25
21-45 years old	150
average age 29.8 years	31
30-52 years-old	25
32- 53.5 years	409
32-74 years old	8
6-12 weeks-old	26
20 years old	104
1-48 months-old	4
36-70 years-old	39
8-11 wk	4
19-74 years-old	29
18-30 years old	15
7-10 weeks-old	88
1-9 years-old	10
15-73 years-old	20
8-16 wk	2
6-8 wk old	11
37 years old	56
1.5 - 10 years	8
2-18 mo	27
37-61 years old	4
Mean: 29 years	853
4-6 wk	13
8-12 wks	13
8-yr-old	1
8-weeks-old	2
23-55 years old	35
8-14 weeks old	127
5-30 years-old	1
8-14 wk	12
21-66 years old	40
12  weeks	12
21-50 years old	6
1-2 months-old	12
4-5 wk	6
17-81 years old	13
8-10 wk	35
6 to 8-week old	12
>6 wk	6
36-51 years old	10
15-50 years old	18
16-48 years old	38
21-55 years old	13
25-50 years-old	28
6-8 week	58
17-86 years old	30
48 years old	18
18-60 years old	50
mean age 30 years	44
27 to 78 years	68
6-12 weeks old	20
4-8 weeks-old	6
22-61 years-old	2
12 to 55 year-old	14
20–67 years	16
2-68 years old	160
mean age 46.5 years	31
23-69 years-old	8
4-10 weeks-old	10
42-70 years-old	16
8-10wk	70
6-12 wk	14
52 years-old	8
8-10 wks	22
3-10 years old	35
19-38 years old	8
14 years-old	1
5 to 19 weeks	366
38 years-old	1
5- to 8- weeks -old	16
mean 44 years	202
Mean age = 30.7 years	44
6-9 months-old	14
6-10 week old	27
28-60 yrs	9
12 months-old	31
40 years-old	1
8-10 wks.	16
8-20 weeks-old	15
4-8 weeks old	4
5-8 weeks-old	2
32 years old	17
8-years-old	4
10 to 17 days-old	4
average 48 years	720
6 to 10 wk	47
40-73 years old	2
4-12 weeks-old	7
6-7 wk	8
6-8 wk.	5
23-54 years-old	11
46-74 years old	2
16 years-old	1
6-18 weeks-old	5
22 to 80 years	8
8-12 week	4
29 to 39 weeks	43
6-8-week-old	1
22 to 64 years	126
mean age 54 years	6
1 year-old	2
25 to 61 years	103
43 years old	8
6 wo	1
Neonates	7
6-10 wks	2
5-10 years-old	1
19 to 91 years	1239
45-55 yrs	2
Mean: 30 years	853
29 to 53 years	34
8-12 wk.	6
60-95 yrs	3
16-50 years-old	6
> 8 wk.	4
4-5 weeks-old	2
29 to 36 years	2
18-65  years	3
8 week old	30
7-17 years old	3
50 yrs	1
54 years old	4
7-12 week	2
18-70 years-old	1
39 to 67 years	12
0.5-15 years-old	3
< 11 years	1
26 years old	7
5-8 weeks old	20
7 day old	1
28 to 33 years	1
42 to 43 years	1
22 to 42 years	2
20 to 69 years	506
28 to 30 years	2
7-12 weeks-old	3
20 to 64 years	10
26-58 years old	4
25.5 - 56 years	25
46 years-old	2
