h_age	occurrences
8.4-16.4 years	4
29-53 years	16
28.8-41.9 years	2
32.8-35.6 years	4
3-17 years	20
5.4 years	6
69-83 years	1
65-85 years	1
58-85 years	1
5.4-12 years	2
8.4-12 years	6
15-81 years	2
18-36 months	6
26-50 years	13
30 or 35 years	1
4.1-16.3 years	8
30-34 years	16
34-55 years	5
29-48 years	3
36-70 years	2
24-43 years	71
52-91 years	50
23-87 years	70
15 years	19
24-60 years	204
3-17.7 years	24
5-31 years	17
18-84 years	7
26-68 years	36
27-40 years	465
19-33 years	3
25-33 years	3
28-44 years	1
28-52 years	101
16-39 years	48
34-64 years	2
26-46 years	59
31-64 years	11
42.7 years	6
22-38 years	10
19-38 years	7
28.7 years	6
22-83 years	1
28-29 years	6
16-80 years	18
21-24 years	1
29-79 years	1
11-24 years	1
28-38 years	63
25-42 years	14
65-94 years	5
18-23 years	26
27-64 years	1002
54-82 years	66
3-24 weeks	1
74-92 years	52
24-69 years	97
27-87 years	88
58-74 years	9
38-77 years	42
5-25 months	1
24-48 years	5
9-11 weeks	4
15-41 years	15
13-50 years	14
34-65 years	4
52 and 70 years	10
6-67 years	17
18-44 years	10
0-13 years	4
22-47 years	2
39-61 years	12
2-33 months	1
22-43 years	1
25-89 years	39
28-43 years	5
6 and 8 weeks	21
0-12 years	1
23-91 years	5
9-50 years	13
7-55 years	61
17-78 years	14
19-82 years	13
34-85 years	29
11-50 years	2
35-62 years	30
38.1 ± 14.8 years	28
20-41 years	7
23-50 years	4
29-54 years	2
57-75 years	9
46-67 years	18
5-9 months	6
28-34 years	2
>8 weeks	43
25-48 years	21
9-16 weeks	4
0.9-29.4 years	6
41 and 43 years	274
35-58 years	1
54-63 years	1
1-85 years	10
37-55 years	3
40-45 years	1
35-63 years	6
39-58 years	1
55-66 years	1
30-43 years	2
24-63 years	231
21-28 years	18
9-78 years	7
21-29 years	3
2-71 years	1
35-76 years	530
32-67 years	4
15 days	8
7-26 years	8
9-39 years	8
43-61 years	126
24-28 years	2
22-57 years	40
49-60 years	3
39-50 years	73
43-60 years	73
20-75 years	177
37-46 years	8
52-96 years	3
58-78 years	3
50-62 years	4
16-24 weeks	14
32-86 years	6
37-80 years	2
6-30 years	46
21-35 years	19
23-35 years	22
39-54 years	14
15-17 weeks	5
36-52 years	37
38-62 years	41
3.6-14.8 years	4
4-6.1 years	4
35-68 years	29
26 and 54 years	2
11-64 years	1
34-63 years	6
15 or 24 weeks	32
37-492 months	91
31-73 years	8
6-20 weeks	357
4.5-14.3 years	4
2.0-15.1 years	4
12-77 years	10
11-59 years	42
75-78 years	1
31-72 years	13
26-64 years	3
20-92 years	3
41-51 years	2
3-12 months	1
49-59 years	2
20-58 years	1
34-66.5 years	1
46-78 years	1
46-58 years	3
24-71 years	30
30-62 years	95
4-10 months	2
1-3 weeks	2
26-28 months	1
9-12 years	4
11-13 years	3
23-70 years	2
16-59 years	48
14-56 years	2
40-58 years	4
45-61 years	8
52-58 years	4
22-53 years	8350
21-55 years	8350
6-58 years	10
11-13 weeks	1
32-39 weeks	1
48-75 years	5
30-51 years	59
51-78 years	5
75-77 years	4
3-32 weeks	24
19-76 years	7
26-57 years	6
21-76 years	5176
18-81 years	187
25-77 years	13
4-13 years	13
25-49 years	4
29-36 years	8
35-95 years	5
22-66 years	54
<55 years	4
8-44 years	2
21-24 days	1
4 and 12 weeks	5
23-60 years	3
12-71 years	42
8-9 months	20
7-66 years	5
19-41 years	25
10-63 years	13
20-61 years	9
24-108 months	3
22-56 years	9
22-64 years	26
3-15 weeks	1
53-78 years	1
15-16 weeks	35
23-72 years	5
22-29 years	2
23-27 years	1
22-26 years	1
47-76 years	14
13 and 21 years	2
22 and 68 years	1
23 weeks	1
28-66 years	1
3-18 years	72
25-78 years	433
11-80 years	26
33-55 years	4
51-67 years	27
47-64 years	16
58-68 years	1
44-68 years	1
6-27 weeks	2
18-21 years	5
14-18 months	2
6-12 years	1
44-55 years	1
37-63 years	1
21-68 years	30
39-69 years	1
23-85 years	150
64-66 years	123
22-46 years	5
17-47 years	250
24-88 years	3
24-87 years	3
32-85 years	3
17-41 years	6
6 and 12 weeks	1
calf	9
10-14 months	16
21-92 years	628
18-22 weeks	1
9-14 weeks	1
14-38 years	2
2-5 months	49
8-60 years	8
20-39 years	489
5-60 years	2
47-66 years	7
29-39 years	2
23-31 years	1
16-34 years	1
54-73 years	4
11-78 months	10
18-38 months	10
13-45 years	32
46-83 years	216
52-83 years	76
34-61 years	101
46-65 years	22
37-58 years	4
