h_age,occurrences
"27.4 ± 16.2 years",5
"38-72 years",5
"39.88 ± 10.13",5
"3 to 9 weeks",5
">13 years",5
"18-79 years",5
"31-57 years",5
"17-74 years",5
"18-71 years",5
"18-91 years",5
"10 to 20 weeks",4
"15-64 years old",4
"16 to 55 years",4
">22 weeks",4
"27 weeks",4
"39 ± 15",4
"53-75 years",4
"7 months to 14 years",4
"3 months to 11 years",4
"26–71 years",4
"20 to 75 years",4
">15 years",4
"55-86 years",4
"47-88 years",4
"7-13 years",4
"21-58 years",4
"14-85 years",4
"18 to 45 years",4
"mean age = 40.3 years",4
">65 years",4
"55.9 +/- 19.2 years",4
"157 days",4
"19-29 years",4
"2-6 years",4
"19 to 64 years",4
"> 6 months",4
Elderly,4
"5 wk",4
"37-57 years",4
"7-58 years",4
"40.7 to 73.3 years",4
"50-86 years",4
"5-9 weeks",4
"21 to 86 years",4
"16-52 years",4
"4 months-15 years",4
"6-7 weks",4
">10 years",4
"mean age = 63 years",4
"1-4 years",4
"15-40 years",4
"8 to 10 weeks old",4
"0.9 to 3.7 years",4
"28-74 years",4
"20 to 59 years",4
"1-25 years",4
"53.2 years",4
"48-93 years",4
"20-59 years",4
"29-44 years",4
"22-25 years",4
">/= 15 years",4
"14.4±3.8 years",4
7-weeks-old,4
"Mean age = 41.7 ± 15.1 years",4
"12 to 88 years",4
"51.0 years",4
"3 months to 7 years",4
15-72,4
"17 to 30 years",4
"19.8 to 38.8",4
"20-73 years",4
"10 weeks-old",4
"9-10 months",4
"34.3 years",4
"1.5 months to 40 years",4
"12 to 55 years",4
"12-16 weeks-old",4
"7–8 weeks",4
"2 and 6 years",4
"10-13 years",4
">18 years",4
"six weeks",4
"36.1 years",4
"mean age = 9.3 years",4
"12 to 60 months",4
"5-16 years",4
31.6+/-5.4,4
"38 to 64 years",4
"7 to 41 years",4
">24 weeks",4
"5 to 10 weeks",4
"6.5 months",4
"1 to 5 years or > 15 years",4
"19-86 years",4
31.7+/-4.5,4
42.18+/-13.23,4
"7-8 weeks old",4
"4 to 80 years",4
49,4
"8–12 weeks",4
"Neonates (infected mothers or PM)",4
"1.1–69 years",4
"23-62 years",4
"10.6 months",4
"12-18 weeks",4
44.94+/-15.65,4
"8-16 weeks old",4
"1 year old",4
"34-75 years",4
"17 to 84",4
"10 days",4
"29-63 years",4
