as_location,occurrences
"Table S1 and Fgures S34-S35",1
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S4, Supplementary Table S6",1
"Supplemental Table and Figure S9",1
"Figures 3 and  4",1
"Extended data Figure 2 and Table S3",1
"Extended Data Figure 4",1
"Table S1 and Figures 4, 5 and 6",1
"Figures 6 and 7",1
"Figures 1, 2, 4",1
"Table 2 and Figure 5",1
"Table S1 and Figures S47-S48",1
"Figure 5 and Table 1",1
"Table 1, Figure 4, Supplementary Table I",1
"Supplemental Figures 1 and 2",1
"Supplementary Table 1 and Figure5",1
"Table 1 and Supplementary Table 2",1
"Table 2, Figure 4, and Supplementary Tables S2 and S4 and Figure S1",1
"Table S1, Tables S1, S2",1
"Supplemental Figure 1",1
"Figures 1, S-4 and Table S1",1
"Figure 7 and Table I",1
"Table S1 and Fgure S39",1
"Figure 1 and table 1",1
"Table 1 and Figure 4B",1
"Extended Data Figure 2 and PXD045025",1
"Supplementary Table 1 and Figure2",1
"Figure 9",1
"Table S5, Table S1",1
"Supplementary Table 1, 19 and Supplementary Figures 16 and 17",1
"Figures 3, 4 and 5",1
"Table 1 and Suppl Figure 5",1
"Table S1 and Fgure S31",1
"Tables 2,S1",1
"Tables V, VII and VIII",1
"Table 1 and Suppl Figure 2",1
"Figures 3, 4, and 6A",1
"Figures 1, 4 and Table 1",1
"Table 2, Figure 3",1
"Figures 3,4, 5, and 6 and Table 2",1
"Table 2, Supplementary Table 5",1
"Figures 3 and 5 , table 2",1
"Table 1 and Figure 1B",1
"Supplementary Tables 2 and 4 and Figure S2",1
"Table S1 and Figures 4, 5, and S6",1
"Table S1 and Figure S43",1
"Figures 2 and 3, table III",1
"Figure s 2 and 3",1
"Figures 3, 4 and PRIDE ID:PXD021755",1
"Supplemental Tables 3 and 4",1
"Figures 2, S5 and S6",1
"Figure 3D, H",1
"Figures 2B, 5 and 6",1
"Supplementary Table S1 and S5",1
"Table 1, S1 and Figures S8-12",1
"Table S1 and Figures 4 and 5",1
"Figures 1, S-3 and Table S1",1
"Supplementary Tables S1, S2, and S3 and Figure 2",1
"Supplementary Table 1 and Figure9, Supplementary Table 1 and Figure8",1
"Figures 2, 3, 4, and 5",1
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S4, Supplementary Table S5",1
"Figure 2E",1
"Table 1 and figure 2",1
"Tables 4 and 6",1
"Supplementary Table 1 and Figure0",1
"Figure 2C",1
"Table 1 and Suppl Figure 3",1
"Figures 2, 3, and 6",1
"Text p.6361",1
"Table 1, S1 and Figure S23",1
"Tables 2 and 6",1
"Supplementary Figure 4",1
"Table 1 and Figures 1, 2, and 3",1
"Figures 4 and 6, Table II",1
"Figure 6a",1
"Table S1 and Fgure S36",1
"Supplemental Table and Figure S8",1
"Supplementary Figure 9",1
"Figures 3, 6",1
"Supplementary Table S3, Supplementary Table S4, Supplementary Table S5",1
"Table 2 and Supplementary Table 5",1
"Figure 1, 4, and Table 1",1
"Table S1 and Figures 4 and S6",1
"Figures 5, S5",1
"Figure 3B,F",1
"Table 1, S1 and Figure S5",1
"Figures 1, S-2 and Table S1",1
"Supplementary Tables 2 and 4 and Figures S2, S3 and S6",1
"Supplementary Table 1 and Figure6",1
"Figures 3 and 4",1
"Figure 4 and Supplementary Table 1",1
"Figure 1 and Table 1 and Supplemenraty Figure 1",1
"Tables S2, S6, and S9",1
"Figures 1, S-5 and Table S1",1
"Figures 2 and 4 and Table 6",1
