as_location,occurrences
"Table 1 and Supplementary Figure 3",26
"Figure 1, Supplementary Figure 1",26
"Figures 4 and S5",26
"Figure 1A, Text page 1565",26
"Figure 2, Tables 1 and 3",26
"author submission",26
"Figure 4 and Supplemental Table 5",26
"Figures 4a, 4b, and 4c",26
"Figure 2G",26
"Figure 7a",26
"Figure 1, Supplementary Figure 2",26
"Table 1, Figure 5",26
"Figures 1, 2 and Table I",26
"Figures 2, 4, and 5",26
"Table 2, Figures 2 and 3",26
"Figures 4, S2",26
"Figures 1, S1, S2",26
"Supplemental Table S2",26
"Figure 4 and Table S3",25
"Table I and Figure 1",25
"Figures 1, S4",25
"Table 2 and Figures 3 and 6",25
"Figures 2, 8",25
"Supplementary Figure S2B",25
"Figure 2 and Extended Data Figure 2 and 3",25
"Extended Data Figure 5",25
"Fig 1",25
"Figures 2, 3, 5",25
"Figures 2, 3 and table 1",25
"Figures 1, 2, and 5",24
"Extended Data 5",24
"Extended Data 6",24
"Figure 3 and Table S1",24
"Text in p.3",24
"Figure 2, and 4D",24
"Table 4 and figure 2",24
"Table 2b",24
"Figures 2, S3 and Table S1",24
"Figure 4 and Supplementary Table 2",24
"Figures 2, 4 and 5",24
"TABLE II",24
"Table 1 and figure 2",24
"Tables IV and VI",24
"Text p.1282",24
"Figures 1 and 7",24
"Supplemental Table S5",24
"Figure 1a",24
"Tables 2 and 3 and Figures 2 and 3",24
"Figure 2, Supplementary Figure 2",24
"Figure  3",24
"Supporting Information Figure 2",24
"Figure 5, Supplemental Figure,  Table 3,",24
"Figure 5 and Supplementary Figure S3",24
"Figures 2, 4, Table 2, Supplementary Table 8, Supplementary Figure 2",24
"Figures 3, S1 and Table II",24
"Table 1, text p. 4519",24
"Tables 2 and 3 and Figure 2",24
"Table II and Figure 2",24
"Figures 2, 3, 4, and 5 and Tables 2, 4, and 5",24
"Figures 3 and S5, Data File S1",23
"Table 3, STable 2",23
"Figure 7C",23
"Figures 6, 8",23
"Tables II, III",23
"Figure 1, 2, Table 4",23
"Figure 4, Figure 3",23
"Supplementary Figure S2A",23
"Figure 9B",23
"Figure 3, Tables 3, 4 and 5,",23
"Tables II and III",23
"Table 1 and Figure S1",23
"Figure 2 and Supplementary Table 1",23
"Tables 2, SIV, and SV and Figure 8",23
"Table SI and Figure 3",23
"Figure 4, Table II",23
"Figure 5 and Supporting Figures S4 and S5",23
"Figure 1, Supplementary Table 3 and Author provided",23
"Figure S2 and Table S1",23
"Figure 3 and table II",23
"Figures 6, 7",23
"Figures 3, S4",23
"Figures 3, 4, 5, 7",23
"Table S2 and Figure 1",23
"Supplemental Table 2, Figure 4",23
"Tables 2 and 8",22
"Figures 3 and 5B",22
"Figure  5",22
"Figure  4, Figure 5",22
"Figure 1, Figure 2, Table 1",22
"Figure 3 and Supplementary Table 3",22
"Figures 2, 3 and S2",22
"Supplementary Dataset 4b and Extended Data Figure 8",22
"Figures 1, 2, 3 and Table 4",22
"Figure 2 and Supplementary Table 2",22
"Figures S4, S8",22
"Figure 3 and S3",22
"Figure 3, Table 1 and Supplementary figure S1",22
"Figures 2, 5",22
"Supplemental Table S1",22
"Fig. 1 C",22
"Figure 1, Table 1, and Supplementary Table S1",22
"Table 1 and figure 4, 5",22
"Figures 2 and 5A",22
"Figure 1i",22
"Tables I and III",22
"Tables S3, S4",22
"Table 2 and Figures 4 and 6",22
"Text p. 142",22
"Supplementary Table 2 and Figure 4",22
"Figure 8b",22
"Table S4, Figure 6",22
"Figure 6 and Table II",22
"Figure 5b",22
"Supplementary Figure S4",22
"Figures 1, 3, 5, 7, 8",22
