as_location,occurrences
"Supplementary Table S3",23
"Figures 1, 3, and 5",23
"Figures 2, 6, Tables I and III",22
"Suppl. Figure 2",22
"Text page 541.",22
"Figures 1 and 3, Tables 1, 2, and 3",22
"Table S3, Figure 3, Table S4",22
"Figure 1A and Table 3",22
"Figure 2A, 2B, 3, 4",22
"Supplementary Figure 1, Supplementary Data 2",22
"Table II, Figure 1",22
"Figure 5 and Table II",22
"Figure 2, S1 and Table S1",22
"Figures 1, 2, and Table 1",22
"Figure 2c",22
"Table II and III",22
"Figure 1, Table 2, Supplementary Figure 1 and Supplementary Table 1",22
"Figure 5b",22
"Tables 2, 3 and 4",22
"Text p 168",22
"Table S1 or author provided",22
"Figure 10.2",22
"Tables 5 and 6",22
"Figures 3, 4, 5 and Table 2",22
"Figure 3, Table 5",22
"Figures 3, 4 and Table 1",22
"Tables 1, 2, 3 and Figures 3, 4, 5, 6, S6, S8",22
"Figure 1, Extended Data Figure 1 and Extended Data Table 1",22
"Table I, Figure 1",22
"Supplementary Figure 5 and Table S2",22
"Text P. 614",22
"Figures 3 and 5 and Table 2",22
"Text page 4419",22
"Tables III",21
"Figure 1A,B",21
"Figure 3 and Extended Data Figure 5",21
"Table 2, Figure 6",21
"Tables 1, S5",21
"Figures 3",21
"Text p.231",21
"Results text, page 2",21
"Fgure 1",21
"Figure 3 and table 2",21
"Figure 5, S8 and Table S2",21
"Table 1 and figure 1",21
"Table 6 and Figure 1",21
"Figure 4 and Supplementary Figure 1",21
Table1,21
"Table 3, Figure 3",21
"Figure 1, Text page 13",21
"Tables 1 and 4",21
"Supplementary Data 1, Supplementary Figure 4",21
"Figures 2, 3, 5",21
"Table 4, Figures 2 and 5",21
"Tables 1, 2, 3, 4, 5, 6, and 7",21
"Supplementary Figure S1B",21
"Text page 306",21
"Text P. 37",21
"Table 2, 3",21
"Figure S1 and Table 1",21
"Figures 6 and S4",21
"Figure 2 and Supplementary Figure 6",21
"Figures 3, S6",21
"Figure 2, Table S2",21
"Figure 2 and Supplementary Table 3",21
"Figures 3, 4, 6 and 7",21
"Tables 1 and S2, Supplemental Figure 4",21
"Figure 5 and Supplementary table 1",21
"Figures 1, S6, S8, S16 and S17",20
"Supplemental Figure S1",20
"Text page 4",20
"Figure 3 and S8",20
"Supplementary Table 2A",20
"Figures 2-3",20
"Figure 6 and Table 5",20
"Tabe S3, Figure S3",20
"Figure 2, Table 5",20
"Figures 2, S3 and Table S1",20
"Table 1, Figures 1 and 5",20
"Figures 3, S10 and Table S4",20
"Table 1, Figure S2",20
"Figure 4 and Supporting Table 2",20
"Table 1, Figures 4 and 5",20
"Table 2 and Figures 3 and S2",20
"Figure 2B,C",20
"Tabel 1 and Table S1",20
"Figures 4, 5, and S6",20
"Figures 7, 8",20
"Supplementary Fig. 3",20
"Table II and Figure 3",20
"Figrue 4",20
"Figure 7 and Supplementary Figure 6",20
"Table 2, Figures 1, 2 and 3",20
"Tables 2, 4",20
"Figures 2, 3, Table 2",20
"Figure 3 and Tables 1 and 3",20
"Figures 1, 2, 5, 6, 7",20
"Figures 4, S3",20
"Figures 2, 3, 4, 5",20
"Figure 1, Table, Text p 431",20
"Figures 7, S6",20
"Figure 2 and Supplementary Figure 2",19
"Figure 2, Table S12",19
"Supplementary Figure S8",19
"Figure 2 and S10",19
"Figures 3 and S4",19
"Figure S2 and Table 1",19
"Tables S8 and S9",19
"Supplemental Figure 3",19
"Figure 4A,B",19
"Figure 6 and 7",19
"Figures 4 and S8",19
"Figures 4, 5, 6",19
"Tables 2, 3, 4",19
"Figures 2, 3, and 6",19
"Figure 5, 6",19
