h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
2 and 64 years	9606	Homo sapiens (human)	2 and 64 years						5033
16 weeks-40 years	9606	Homo sapiens (human)	16 weeks-40 years						5040
35.5 +/- 12.8 years	9606	Homo sapiens (human)	35.5 +/- 12.8 years						5091
65 and 74 years old	9606	Homo sapiens (human)	65 and 74 years old						5110
up to 12 weeks old	10000263	Mus musculus B10.BR	up to 12 weeks old						5125
up to 12 weeks old	10090	Mus musculus (mouse)	up to 12 weeks old						5130
2 months to 14 years	9606	Homo sapiens (human)	2 months to 14 years						5146
Adult (pregnant)	9606	Homo sapiens (human)	adult (pregnant)						5205
6 months to 3 years	9606	Homo sapiens (human)	6 months to 3 years						5220
birth - 5 years	9606	Homo sapiens (human)	birth - 5 years						5230
Neonates (infected mothers or PM)	9606	Homo sapiens (human)	neonates (infected mothers or pm)						5235
Adult (18-49)	9606	Homo sapiens (human)	adult (18-49)						5267
39 +/- 2.4 years	9606	Homo sapiens (human)	39 +/- 2.4 years						5324
Child (5-11)	9606	Homo sapiens (human)	child (5-11)						5326
6 months to 53 years	9606	Homo sapiens (human)	6 months to 53 years						5328
Average age of 37 years	9606	Homo sapiens (human)	average age of 37 years						5329
40.0±13.7 years	9606	Homo sapiens (human)	40.0±13.7 years						5373
14.4±3.8  years	9606	Homo sapiens (human)	14.4±3.8  years						5374
39.88 ± 10.13	9606	Homo sapiens (human)	39.88 ± 10.13						5380
39.18 ± 6.77	9606	Homo sapiens (human)	39.18 ± 6.77						5385
27.4 ± 16.2 years	9606	Homo sapiens (human)	27.4 ± 16.2 years						5400
8 mo to 35 years	9606	Homo sapiens (human)	8 mo to 35 years						5429
7 months to 14 years	9606	Homo sapiens (human)	7 months to 14 years						5433
14 +/- 3 years	10000195	Capra hircus Saanen	14 +/- 3 years						5454
>/= 18 years	9606	Homo sapiens (human)	>/= 18 years						5456
62.8 ± 10 years	9606	Homo sapiens (human)	62.8 ± 10 years						5460
2 months-12 years	9606	Homo sapiens (human)	2 months-12 years						5461
69 ± 15 years	9606	Homo sapiens (human)	69 ± 15 years						5472
60 ± 15 years	9606	Homo sapiens (human)	60 ± 15 years						5473
37 ± 14 years	9606	Homo sapiens (human)	37 ± 14 years						5474
35 years mean age	9606	Homo sapiens (human)	35 years mean age						5476
62 ± 12 years	9606	Homo sapiens (human)	62 ± 12 years						5483
55 ± 12 years	9606	Homo sapiens (human)	55 ± 12 years						5487
38.15 ± 6.5	9606	Homo sapiens (human)	38.15 ± 6.5						5491
14.4±3.8 years	9606	Homo sapiens (human)	14.4±3.8 years						5493
39 ± 15	9606	Homo sapiens (human)	39 ± 15						5507
Mean age = 41.7 ± 15.1 years	9606	Homo sapiens (human)	mean age = 41.7 ± 15.1 years						5512
Mean age = 39.8 ± 13.3 years	9606	Homo sapiens (human)	mean age = 39.8 ± 13.3 years						5519
33.7±4.6 years	9606	Homo sapiens (human)	33.7±4.6 years						5521
42.3 ± 16.4 years	9606	Homo sapiens (human)	42.3 ± 16.4 years						5527
33.4±6 years	9606	Homo sapiens (human)	33.4±6 years						5529
6 months - 47 years	9606	Homo sapiens (human)	6 months - 47 years						5530
35.5±8.1 years	9606	Homo sapiens (human)	35.5±8.1 years						5535
mean age of 39.9 years	9606	Homo sapiens (human)	mean age of 39.9 years						5551
8.5 +/- 3.3 years	9606	Homo sapiens (human)	8.5 +/- 3.3 years						5564
18 +/- 11 years	9606	Homo sapiens (human)	18 +/- 11 years						5571
Mean age = 58±12 years	9606	Homo sapiens (human)	mean age = 58±12 years						5614
newborns - 29 years	9606	Homo sapiens (human)	newborns - 29 years						5637
1 year 5 months to 15 years 8 months	9606	Homo sapiens (human)	1 year 5 months to 15 years 8 months						5639
6 days to 7  months	10000639	Mus musculus NZB	6 days to 7  months						5654
3 weeks - 6 months	9796	Equus caballus (domestic horse)	3 weeks - 6 months						5671
3 months to 11 years	9606	Homo sapiens (human)	3 months to 11 years						5679
adult, >32 years	9606	Homo sapiens (human)	adult, >32 years						5704
48.6 +/- 13.5 years	9606	Homo sapiens (human)	48.6 +/- 13.5 years						5726
3 weeks-15 years	9606	Homo sapiens (human)	3 weeks-15 years						5755
Mean=8.4 ± 4.3	9606	Homo sapiens (human)	mean=8.4 ± 4.3						5758
6 months - 9 years	9606	Homo sapiens (human)	6 months - 9 years						5773
adults, >32 years	9606	Homo sapiens (human)	adults, >32 years						5791
elderly > 70 years	9606	Homo sapiens (human)	elderly > 70 years						5794
3 months to 64 years	9606	Homo sapiens (human)	3 months to 64 years						5797
7 months - 9 years	9606	Homo sapiens (human)	7 months - 9 years						5804
3 months to 2 years	9606	Homo sapiens (human)	3 months to 2 years						5806
4 months-30 years	9606	Homo sapiens (human)	4 months-30 years						5836
4 months-15 years	9606	Homo sapiens (human)	4 months-15 years						5840
21, 27 and 36 weeks	10001405	Mus musculus NZB X NZW	21, 27 and 36 weeks						5920
Within 1 week after birth	9606	Homo sapiens (human)	within 1 week after birth						5932
40.6 +/- 11.4 years	9606	Homo sapiens (human)	40.6 +/- 11.4 years						5969
under 7 years	9606	Homo sapiens (human)	under 7 years						5973
75.9 +/- 7.5 years	9606	Homo sapiens (human)	75.9 +/- 7.5 years						6013
31and 73 years	9606	Homo sapiens (human)	31and 73 years						6026
Less than 20 years	9606	Homo sapiens (human)	less than 20 years						6046
2 and 6 years	9615	Canis lupus familiaris (dogs)	2 and 6 years						6056
21 months-45 years	9606	Homo sapiens (human)	21 months-45 years						6064
52.7 +/- 10 years	9606	Homo sapiens (human)	52.7 +/- 10 years						6096
48 +/- 12 years	9606	Homo sapiens (human)	48 +/- 12 years						6098
66.6 +/- 7.4 years	9606	Homo sapiens (human)	66.6 +/- 7.4 years						6105
31.63 +/- 1.37 years	9606	Homo sapiens (human)	31.63 +/- 1.37 years						6118
36.1 years (mean)	9606	Homo sapiens (human)	36.1 years (mean)						6119
55 ± 27 years	9606	Homo sapiens (human)	55 ± 27 years						6120
24.92 +/- 0.84	9606	Homo sapiens (human)	24.92 +/- 0.84						6121
43.62 +/- 1.07 years	9606	Homo sapiens (human)	43.62 +/- 1.07 years						6129
