as_location,occurrences
"Figures 2 and 3, Table II",2
"Figure 5 and Table IV",2
"Tables I and III",2
"Figure 3, Tables 1 and 2",2
"Figures 4, 5, and 6",2
"Figure 6 and Table 2",2
"Figures 1, 2 and Table II",2
"Figure 4, Table 1",2
"Figures 1, 3, Supplementary Figures S1, S3 and Table 1",2
"Figure 5 and Supplementary Table 1",2
"Table 6, Figure 1",2
"Figure 4, Table S4 and PDB 6VMC",2
"Figure 10 and text p. 11721, Table 1",2
"Table III and Figure 1",2
"Figures 1A, 3 and 4A",2
"Figures 1C and 4B",2
"Figures 1D, 3, 4C and 4E",2
"Figure 3 and 4",2
"Text p 113",2
"Figure 2a and Table 3",2
"Figure 1a, Figure 1b",2
"Figures 1A, 1B",2
"Figures 1, 4, Tables 1, 2 and S1",2
"Tables 1, 2, Figures 2, 3, 4 and 1ED3",2
"Text p. 13",2
"Figure 1 and Supplemental Table 1",2
"Figure 13",2
"Figure 5 and Table III",2
"Text page 12",2
"Figure 9 and supplemental Figure 8",2
"Text page 183",2
"Figure 1 and Tables 1, 2, 3, and 4",2
"Figure 2 and Tables 1, 2, 3, and 4",2
"Figure 1, Figure 5",2
"Figures 1 and 2, Table 1",2
"Table S2 and Figures 1, 2, 4",2
"Table 1, Figure 2 and Supplemental data",2
"Text and Figure S1",2
"Figure 4 and Tables S2, S4",2
"Figures 4, 5 and Table 1",2
"Figure 3 and Tables 1, 2, 3, and 4",2
"Figure 4 and Tables 1, 2, 3, and 4",2
"Figure 6 and Tables 1, 2, 3, and 4",2
"Figure 7 and Tables 1, 2, 3, and 4",2
"Figure 5 and Tables 1, 2, 3, and 4",2
"Figures 2, 3, and 4, Table II",2
"Figures 2 and 4 and Table 2 and Supplemental Figure 3",2
"Results page 4797",2
"Figures 2, 5, Supplementary Figures S2, S4",2
"Table 2, Supplementary figure 3",2
"Table 1, Figures 1, 2",2
"Figures 1, 2 and Supplementary Figures 1, 3 and Supplementary Table 1",2
"Figure 5, Table 1, Figures 1 and 5",2
"Table 1, Figures 1 and 5",2
"Table 7, Figure 4",2
"Figures 1 amd 2",2
"Figures 1 to 4",2
"Table I, Figures 6 and 7",2
"Table 3, Figures 3 and 4",2
"Figures S3, S4",2
"Figure 1, Extended Data Figure 2",2
"Table V and Figure 2",2
"Table 1, Figures 4 and S3",2
"Tables 1 and S2",2
"Text page 1230",2
"Figures 2, 3, 6, S2, Table 1, S2, S3, PDB 6JP3.",2
"Figures 1B and 2B",2
"Figure 3 and Supplementary Table S4",2
"Text page 2148",2
"Figures 1, 2, S1 and S2",2
"Figures 2 and S1",2
"Figures 1 and S2",2
"Figure 4 and Supplementary Table 9",2
"Supplemental Figure 11",2
"Figure 8 and Table III",2
"Figure 1 and Supplementary Figure S6",2
"Text page 499",2
"Text page 500",2
"Figure 2, Figures 2, 4, and 5",2
"Figures 2, 4, and 5, Figure 2",2
"Text, p. 358",2
"Results page 1645",2
"Tables 1, 2 and Figure 1",2
"Supplemental Figures 1 and 2",2
"Supplemental Figures 1 abd 2",2
"Figure 7, Figure 1, Tables 1, 3",2
"Table S7 and Figure S17 and S19",2
"Extended Data Fig. 4b",2
"Figure 6 and Text page 9",2
"Tables 5 and 6 and Figure 3",2
"Table II, Table I and figure 6",2
"Figure 4 and S4",2
"Supplementary Table 4, Figure 4, Supplementary Figure 3 and PDB 3VRJ",2
"Supplementary Table 4, Figure 4, Supplementary Figure 3 and PDB 3VRI",2
"Figures 3, S3, Table S4, and PDB 3UPR",2
"Figure 4A and Supplemental Figure 1A",2
"Figure 3 and Supplementary Figure 8",2
"Figure 1 and PDB 5U98",2
"Figure 5, Table S1 and 6BNK",2
"Figure 4, Figure 5",2
"Figures 1, S1, Table S1 and PDB 8GOM",1
"Figure S1, Table S1 and PDB 8GON",1
"Tables 1, 2, Figures 1, 2, 4 and PDB 1EFX",1
"Table 1, Figures 2, 3 and PDB 5D2N",1
"Table 1, Figures 2, 3 and PDB 5D2L",1
"Figures 1, S1, Tables 1, 2 and PDB 4WUU",1
"Tables 2, Figures 2, S2 and PDB 7KGO",1
"Tables 2, Figures 2, S2 and PDB 7KGP",1
"Tables 2, Figures 2, S2 and PDB 7KGR",1
"Tables 2, Figures 2, S2 and PDB 7KGQ",1
"Tables 2, Figures 2, S2 and PDB 7KGS",1
"Tables 2, Figures 2, S2 and PDB 7KGT",1
"Figures 2, 3, 4, 5, S1, S2, Table 1 and PDB 7CIQ",1
"Figures 2, 3, 4, 5, S1,S2, Table 1 and PDB 7CIR",1
"Figures 2, 3, 5, 6, S1, S2, S4, Table 1 and PDB 7DYN",1
"Figures 2, 3, 5, 6, S1, S2, Table 1 and PDB 7CIS",1
"Table 1 and Figures 2 and 3",1
"Figure 3, Tables 2, S2 and PDB 5SWZ",1
"Figure 3, Tables 2, S2 and PDB 5SWS",1
"Figure 1, Supplementary Table 2 and PDB 4X5W",1
"Figure 2, Supplementary Figure 4, Supplementary Table 2 and PDB 4X5X",1
"Figure 1, 2 and 3",1
"Table 1, Figure 1 and PDB 3L6F",1
"Table 1, Figures 2, 3, Supplementary Figure 2, Supplementary Table 1 and PSB 4ZFZ",1
"Table 3, Supplemental Table 1",1
"Table 1, Figure 5 and PDB 1I3R",1
"Tables 1, 2, Figures 1, 2, 3 and PDB 3HG1",1
"Figure 1, Table 1 and PDB 1P7Q",1
"Figures 1, 3, Table S1 and PDB 3CII",1
"Figure 2, Supplementary Table 7 and PDB 6JTP",1
"Figure 3, Supplementary Table 7 and PDB 6JQ3",1
"Figure 2, Supplementary Table 7 and PDB 6JTN",1
"Figure 3, Supplementary Table 7 and PDB 6JQ2",1
"Figures 3, S2, S4, Table S1 and PDB 8FHU",1
"Figures 4, S2, Table S1 and PDB 8D5K",1
"Figures 2, S2, Table S1 and PDB 8D5F",1
"Figures 3, S2, S3, Table S1 and PDB 8FHL",1
"Figures 4, S2, Table S1 and PDB 8D5J",1
"Table 1, Figure 5, Supplemental Figure 1 and PDB 3PWN",1
"Table IV, Figure 4 and PDB 5WMO",1
"Table IV, Figure 4 and PDB 5WMN",1
"Table IV, Figure 4 and PDB 5WMP",1
