h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
mean age 46 years	9606	Homo sapiens (human)	2261	mean age 46 years	N	pass	0	mean age 46 year	Y	pass	1	mean age 46 year	N	fail	0	1	
16 ± 11 days	9913	Bos taurus (bovine)	2291	16 +/- 11 days	Y	pass	3	16 +/- 11 day	Y	pass	1	16 +/- 11 day	N	fail	0	4	
41±13 years	9606	Homo sapiens (human)	2292	41+/-13 years	Y	pass	3	41+/-13 year	Y	pass	1	41 +/- 13 year	Y	fail	2	6	
54±10 years	9606	Homo sapiens (human)	2293	54+/-10 years	Y	pass	3	54+/-10 year	Y	pass	1	54 +/- 10 year	Y	fail	2	6	
23-64	9606	Homo sapiens (human)	2295	23-64	N	pass	0	23-64	N	pass	0	23-64	N	fail	0	0	
20 - >65 years	9606	Homo sapiens (human)	2321	20 - >65 years	N	pass	0	20 - >65 year	Y	pass	1	20 - >65 year	N	fail	0	1	
mean age 34.6 years	9606	Homo sapiens (human)	2335	mean age 34.6 years	N	pass	0	mean age 34.6 year	Y	pass	1	mean age 34.6 year	N	fail	0	1	
mean age 50.7 years	9606	Homo sapiens (human)	2336	mean age 50.7 years	N	pass	0	mean age 50.7 year	Y	pass	1	mean age 50.7 year	N	fail	0	1	
mean age 40 years	9606	Homo sapiens (human)	2337	mean age 40 years	N	pass	0	mean age 40 year	Y	pass	1	mean age 40 year	N	fail	0	1	
32-63	9606	Homo sapiens (human)	2382	32-63	N	pass	0	32-63	N	pass	0	32-63	N	fail	0	0	
8-10	10000067	Mus musculus C57BL/6	2385	8-10	N	pass	0	8-10	N	pass	0	8-10	N	fail	0	0	
45	9606	Homo sapiens (human)	2386	45	N	pass	0	45	N	pass	0	45	N	fail	0	0	
8-10	10001221	Mus musculus C57BL/6 x SJL	2397	8-10	N	pass	0	8-10	N	pass	0	8-10	N	fail	0	0	
33-39	9606	Homo sapiens (human)	2414	33-39	N	pass	0	33-39	N	pass	0	33-39	N	fail	0	0	
26-55	9606	Homo sapiens (human)	2421	26-55	N	pass	0	26-55	N	pass	0	26-55	N	fail	0	0	
adult (>18 years)	9606	Homo sapiens (human)	2468	adult (>18 years)	N	pass	0	adult (>18 years)	N	pass	0	adult (>18 years)	N	fail	0	0	
18-75 years (mean 39.1)	9606	Homo sapiens (human)	2472	18-75 years (mean 39.1)	N	pass	0	18-75 year (mean 39.1)	Y	pass	1	18-75 year (mean 39.1)	N	fail	0	1	
18-75 years (mean 46)	9606	Homo sapiens (human)	2473	18-75 years (mean 46)	N	pass	0	18-75 year (mean 46)	Y	pass	1	18-75 year (mean 46)	N	fail	0	1	
mean age 22.8 years	9606	Homo sapiens (human)	2481	mean age 22.8 years	N	pass	0	mean age 22.8 year	Y	pass	1	mean age 22.8 year	N	fail	0	1	
at least 8 weeks	10000067	Mus musculus C57BL/6	2486	at least 8 weeks	N	pass	0	at least 8 week	Y	pass	1	at least 8 week	N	fail	0	1	
39-43	9606	Homo sapiens (human)	2494	39-43	N	pass	0	39-43	N	pass	0	39-43	N	fail	0	0	
29-63	9606	Homo sapiens (human)	2533	29-63	N	pass	0	29-63	N	pass	0	29-63	N	fail	0	0	
18-45	9606	Homo sapiens (human)	2550	18-45	N	pass	0	18-45	N	pass	0	18-45	N	fail	0	0	
19-61	9606	Homo sapiens (human)	2551	19-61	N	pass	0	19-61	N	pass	0	19-61	N	fail	0	0	
24-67	9606	Homo sapiens (human)	2566	24-67	N	pass	0	24-67	N	pass	0	24-67	N	fail	0	0	
33-87	9606	Homo sapiens (human)	2605	33-87	N	pass	0	33-87	N	pass	0	33-87	N	fail	0	0	
23-67	9606	Homo sapiens (human)	2615	23-67	N	pass	0	23-67	N	pass	0	23-67	N	fail	0	0	
