unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
year		1 to 5 years or > 15 years	9606	Homo sapiens (human)	6438	1 to 5 year or > 15 year	1-5 year or >15 year		1					manual
year		mean age 3-4 years	9606	Homo sapiens (human)	6443	mean age 3-4 year	mean age 3-4 year		3	4				manual
year	63	median age 63 years	9606	Homo sapiens (human)	6446	median age 63 year	median age 63 year							manual
year	50.3	50.3 years median age	9606	Homo sapiens (human)	6470	50.3 year median age	50.3 year median age							manual
year	56.5	56.5 years median age	9606	Homo sapiens (human)	6471	56.5 year median age	56.5 year median age							manual
month		6 weeks and 18 months	10000000	Mus musculus BALB/c	6497	6 week and 18 month	6 week and 18 month		1.38	18				manual
year	9	median 9 years	9606	Homo sapiens (human)	6558	median 9 year	median 9 year							manual
year	7.5	median age: 7.5 years	9606	Homo sapiens (human)	6595	median age: 7.5 year	median age: 7.5 year							manual
year		over 18 years	10000119	Homo sapiens Caucasian	6615	over 18 year	over 18 year		18					manual
year		46.7 yeas (mean)	9606	Homo sapiens (human)	6634	46.7 yeas (mean)	46.7 yeas (mean)				46.7			manual
month		1 day to 6 months	9823	Sus scrofa (pig)	6665	1 day to 6 month	1 day to 6 month		0.033	6				manual
year		2 months - 12 years	9606	Homo sapiens (human)	6700	2 month - 12 year	2 month - 12 year		0.167	12				manual
year		52 years old on average	9606	Homo sapiens (human)	6708	52 year old on average	52 year on average				52			manual
year		36.8 years (mean)	9606	Homo sapiens (human)	6719	36.8 year (mean)	36.8 year (mean)				36.8			manual
year		8 months to 54 years	9606	Homo sapiens (human)	6739	8 month to 54 year	8 month to 54 year		0.667	54				manual
