before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	373
8 weeks-old	N	N	N	N	N	N	N	8 weeks-old	374
8-12 weeks old	N	N	N	N	N	N	N	8-12 weeks old	375
75 years	N	N	N	N	N	N	N	75 years	376
32-51 years	N	N	N	N	N	N	N	32-51 years	377
4 week	N	N	N	N	N	N	N	4 week	378
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	379
mean age 30 years	N	N	N	N	N	N	N	mean age 30 years	380
27 to 78 years	N	N	N	N	N	N	N	27 to 78 years	381
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	382
6-12 weeks old	N	N	N	N	N	N	N	6-12 weeks old	383
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	384
NULL	N	N	N	N	N	N	Y	null	385
4-8 weeks-old	N	N	N	N	N	N	N	4-8 weeks-old	386
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	387
8-12 wk	N	N	N	N	N	N	N	8-12 wk	388
NULL	N	N	N	N	N	N	Y	null	389
18-50 years	N	N	N	N	N	N	N	18-50 years	390
22-61 years-old	N	N	N	N	N	N	N	22-61 years-old	391
17-88	N	N	N	N	N	N	N	17-88	392
21-44 years	N	N	N	N	N	N	N	21-44 years	393
NULL	N	N	N	N	N	N	Y	null	394
18-30 years	N	N	N	N	N	N	N	18-30 years	395
NULL	N	N	N	N	N	N	Y	null	396
12 to 55 year-old	N	N	N	N	N	N	N	12 to 55 year-old	397
6-12 weeks-old	N	N	N	N	N	N	N	6-12 weeks-old	398
10-79 years	N	N	N	N	N	N	N	10-79 years	399
NULL	N	N	N	N	N	N	Y	null	400
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	401
16-87 years	N	N	N	N	N	N	N	16-87 years	402
20–67 years	Y	N	N	N	N	N	N	20-67 years	403
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	404
8 weeks-old	N	N	N	N	N	N	N	8 weeks-old	405
3-4 months	N	N	N	N	N	N	N	3-4 months	406
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	407
6-8 weeks-old	N	N	N	N	N	N	N	6-8 weeks-old	408
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	409
2-68 years old	N	N	N	N	N	N	N	2-68 years old	410
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	411
10 years and older	N	N	N	N	N	N	N	10 years and older	412
NULL	N	N	N	N	N	N	Y	null	413
30	N	N	N	N	N	N	N	30	414
16-45 years	N	N	N	N	N	N	N	16-45 years	415
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	416
19-59 years	N	N	N	N	N	N	N	19-59 years	417
5-6 weeks old	N	N	N	N	N	N	N	5-6 weeks old	418
38-64 years	N	N	N	N	N	N	N	38-64 years	419
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	420
mean age 46.5 years	N	N	N	N	N	N	N	mean age 46.5 years	421
6-8 weeks-old	N	N	N	N	N	N	N	6-8 weeks-old	422
23-69 years-old	N	N	N	N	N	N	N	23-69 years-old	423
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	424
NULL	N	N	N	N	N	N	Y	null	425
1 month-old-81 years-old	N	N	N	N	N	N	N	1 month-old-81 years-old	426
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	427
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	428
NULL	N	N	N	N	N	N	Y	null	429
8-14 wk	N	N	N	N	N	N	N	8-14 wk	430
NULL	N	N	N	N	N	N	Y	null	431
4-10 weeks-old	N	N	N	N	N	N	N	4-10 weeks-old	432
42-70 years-old	N	N	N	N	N	N	N	42-70 years-old	433
6-10 wk	N	N	N	N	N	N	N	6-10 wk	434
12-16 weeks	N	N	N	N	N	N	N	12-16 weeks	435
8-10wk	N	N	N	N	N	N	N	8-10wk	436
12 weeks	N	N	N	N	N	N	N	12 weeks	437
8–12 weeks	Y	N	N	N	N	N	N	8-12 weeks	438
8-65 years	N	N	N	N	N	N	N	8-65 years	439
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	440
6-12 wk	N	N	N	N	N	N	N	6-12 wk	441
NULL	N	N	N	N	N	N	Y	null	442
8-15 weeks	N	N	N	N	N	N	N	8-15 weeks	443
NULL	N	N	N	N	N	N	Y	null	444
6-8 weeks-old	N	N	N	N	N	N	N	6-8 weeks-old	445
6-16 wk	N	N	N	N	N	N	N	6-16 wk	446
NULL	N	N	N	N	N	N	Y	null	447
52 years-old	N	N	N	N	N	N	N	52 years-old	448
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	449
16 years	N	N	N	N	N	N	N	16 years	450
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	451
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	452
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	453
2-4 months old	N	N	N	N	N	N	N	2-4 months old	454
8-10 wks	N	N	N	N	N	N	N	8-10 wks	455
8-10 wks	N	N	N	N	N	N	N	8-10 wks	456
10 weeks	N	N	N	N	N	N	N	10 weeks	457
5-65 years	N	N	N	N	N	N	N	5-65 years	458
25-61 years	N	N	N	N	N	N	N	25-61 years	459
1 year	N	N	N	N	N	N	N	1 year	460
12-57 years	N	N	N	N	N	N	N	12-57 years	461
31-60 years	N	N	N	N	N	N	N	31-60 years	462
9 months	N	N	N	N	N	N	N	9 months	463
3-10 years old	N	N	N	N	N	N	N	3-10 years old	464
